PUID	MIME
fmt/72	image/vnd.dxf
fmt/73	image/vnd.dxf
fmt/74	image/vnd.dxf
fmt/75	image/vnd.dxf
fmt/76	image/vnd.dxf
fmt/77	image/vnd.dxf
fmt/78	image/vnd.dxf
fmt/79	image/vnd.dxf
fmt/114	image/bmp
fmt/115	image/bmp
fmt/116	image/bmp
fmt/117	image/bmp
fmt/118	image/bmp
fmt/119	image/bmp
fmt/37	application/msword
fmt/38	application/msword
fmt/1	audio/x-wav
x-fmt/393	application/vnd.wordperfect
x-fmt/394	application/vnd.wordperfect
fmt/80	image/vnd.dxf
fmt/81	image/vnd.dxf
fmt/82	image/vnd.dxf
fmt/83	image/vnd.dxf
fmt/84	image/vnd.dxf
fmt/85	image/vnd.dxf
fmt/128	application/vnd.sun.xml.writer
fmt/129	application/vnd.sun.xml.calc
fmt/130	application/vnd.sun.xml.impress
fmt/127	application/vnd.sun.xml.draw
x-fmt/396	audio/x-wav
x-fmt/397	audio/x-wav
x-fmt/398	image/jpeg
x-fmt/399	image/tiff
fmt/53	application/rtf, text/rtf
x-fmt/400	application/vnd.stardivision.writer
x-fmt/401	application/vnd.stardivision.draw
x-fmt/402	application/vnd.stardivision.draw
x-fmt/403	application/vnd.stardivision.writer
x-fmt/404	application/vnd.stardivision.calc
x-fmt/405	application/vnd.stardivision.impress
fmt/63	image/vnd.dxf
fmt/121	text/xml
fmt/120	text/xml
fmt/95	application/pdf
x-fmt/406	application/postscript
x-fmt/407	application/postscript
x-fmt/408	application/postscript
x-fmt/411	application/octet-stream
x-fmt/412	application/java-archive
fmt/136	application/vnd.oasis.opendocument.text
fmt/137	application/vnd.oasis.opendocument.spreadsheet
fmt/138	application/vnd.oasis.opendocument.presentation
fmt/139	application/vnd.oasis.opendocument.graphics
fmt/141	audio/x-wav
fmt/142	audio/x-wav
fmt/143	audio/x-wav
fmt/144	application/pdf
fmt/145	application/pdf
fmt/146	application/pdf
fmt/147	application/pdf
fmt/148	application/pdf
fmt/149	image/jpeg
fmt/151	image/jpx
fmt/152	image/tiff
fmt/153	image/tiff
fmt/154	image/tiff
fmt/155	image/tiff
fmt/156	image/tiff
x-fmt/418	image/x-icon
x-fmt/420	application/inf
x-fmt/423	application/javascript
fmt/157	application/pdf
fmt/158	application/pdf
x-fmt/429	multipart/related
x-fmt/436	application/octet-stream
x-fmt/437	application/octet-stream
x-fmt/438	application/octet-stream
x-fmt/439	application/octet-stream
x-fmt/440	application/octet-stream
x-fmt/441	application/octet-stream
